0	0.5	0.2
0.1	1.3	0.6
0.2	2.7	1.3
0.3	4.9	2.3
0.4	7.4	3.4
0.5	10.3	4.6
0.6	13.6	5.9
0.7	17.6	7.1
0.8	22	8.4
0.9	26.4	9.3
1	31	10
1.1	35.4	10.5
1.2	37.2	10.6
1.3	39.9	10.8
1.4	48.8	11.2
1.5	57.2	11.2
1.6	62.3	11.1
1.7	67.7	10.9
1.8	72.2	10.8
1.9	78.6	10.4
2	85.4	10.1
2.5	115.2	8.8
3	145.3	7.9
3.5	176.5	7.6
4	207	7.5
4.5	241	7.5
5	274	7.6
5.5	308	7.8
6	342	8
6.5	358	8.3
7	361	8.3
7.5	404	9.1
8	445	9.9
8.5	484	10.8
9	523	11.9
9.5	622	16.2
10	667	19.2
10.5	710	22.6
11	754	26.9
11.5	802	32.6
12	860	42.7
12.5	977	82.5
13	1521	625
13.5	1966	1319
14	2440	2020
